n,algorithm,duration_s,correct
584,smm,0.312554,1
584,smmr,3.705013,1
584,strassen,9.201372,1
592,smm,0.326259,1
592,smmr,3.703037,1
592,strassen,9.088750,1
600,smm,0.338916,1
600,smmr,3.702304,1
600,strassen,9.077872,1
608,smm,0.352536,1
608,smmr,3.701007,1
608,strassen,9.196776,1
616,smm,0.366746,1
616,smmr,3.700658,1
616,strassen,9.079963,1
624,smm,0.381587,1
624,smmr,3.702381,1
624,strassen,9.176860,1
632,smm,0.395943,1
632,smmr,3.702243,1
632,strassen,9.189485,1
640,smm,0.411140,1
640,smmr,3.701841,1
640,strassen,9.189374,1
648,smm,0.426861,1
648,smmr,3.700936,1
648,strassen,9.079250,1
656,smm,0.443575,1
656,smmr,3.701073,1
656,strassen,9.078225,1
664,smm,0.459057,1
664,smmr,3.702020,1
664,strassen,9.189190,1
672,smm,0.475903,1
672,smmr,3.701262,1
672,strassen,9.187938,1
680,smm,0.493017,1
680,smmr,3.701598,1
680,strassen,9.193523,1
688,smm,0.511560,1
688,smmr,3.701231,1
688,strassen,9.079190,1
696,smm,0.528645,1
696,smmr,3.700320,1
696,strassen,9.187747,1
704,smm,0.547021,1
704,smmr,3.701556,1
704,strassen,9.078328,1
712,smm,0.565877,1
712,smmr,3.702306,1
712,strassen,9.186421,1
720,smm,0.585874,1
720,smmr,3.700912,1
720,strassen,9.187100,1
728,smm,0.604819,1
728,smmr,3.700421,1
728,strassen,9.081281,1
736,smm,0.624903,1
736,smmr,3.700643,1
736,strassen,9.187884,1
744,smm,0.645487,1
744,smmr,3.700937,1
744,strassen,9.079785,1
752,smm,0.667900,1
752,smmr,3.701468,1
752,strassen,9.194430,1
760,smm,0.687996,1
760,smmr,3.699821,1
760,strassen,9.078088,1
768,smm,0.709921,1
768,smmr,3.701167,1
768,strassen,9.186830,1
776,smm,0.732316,1
776,smmr,3.700859,1
776,strassen,9.187753,1
784,smm,0.756333,1
784,smmr,3.700980,1
784,strassen,9.077490,1
792,smm,0.778408,1
792,smmr,3.700060,1
792,strassen,9.190118,1
800,smm,0.802256,1
800,smmr,3.700870,1
800,strassen,9.080364,1
808,smm,0.826795,1
808,smmr,3.699947,1
808,strassen,9.079194,1
816,smm,0.852196,1
816,smmr,3.702330,1
816,strassen,9.186267,1
824,smm,0.876512,1
824,smmr,3.700474,1
824,strassen,9.197880,1
832,smm,0.902267,1
832,smmr,3.700413,1
832,strassen,9.078355,1
840,smm,0.928338,1
840,smmr,3.700537,1
840,strassen,9.189486,1
848,smm,0.956451,1
848,smmr,3.701484,1
848,strassen,9.189705,1
856,smm,0.982526,1
856,smmr,3.701667,1
856,strassen,9.189641,1
864,smm,1.010395,1
864,smmr,3.700780,1
864,strassen,9.187140,1
872,smm,1.038690,1
872,smmr,3.701341,1
872,strassen,9.186544,1
880,smm,1.067610,1
880,smmr,3.700195,1
880,strassen,9.080076,1
888,smm,1.096714,1
